card,m,y,catchname,catch,locality,time,org,map,east,north,altitude,penet,fishmeth,effort,pass,spcode,abund,number,minl,maxl,nzreach
15872,2,1994,Taieri R,743.16,Three O'clock Stream,1330,uoo,i43,2311100,5509600,270,87,efp,125,3,galdep,,105,46,109,14051904
15872,2,1994,Taieri R,743.16,Three O'clock Stream,1330,uoo,i43,2311100,5509600,270,87,efp,125,3,saltru,,60,52,180,14051904
15873,5,1994,Taieri R,743.16,Three O'clock Stream,1345,uoo,i43,2311100,5509600,270,87,efp,125,3,galdep,,59,56,107,14051904
15873,5,1994,Taieri R,743.16,Three O'clock Stream,1345,uoo,i43,2311100,5509600,270,87,efp,125,3,saltru,,32,73,239,14051904
15874,12,1994,Taieri R,743.16,Three O'clock Stream,1330,uoo,i43,2311100,5509600,270,87,efp,125,5,saltru,,148,64,109,14051904
15874,12,1994,Taieri R,743.16,Three O'clock Stream,1330,uoo,i43,2311100,5509600,270,87,efp,125,5,galdep,,71,35,168,14051904
15875,2,1992,Taieri R,743.16,Three O'clock Stream tributary,1000,uoo,i43,2311100,5510200,275,88,efp,90,3,galbre,,2,128,162,14051332
15875,2,1992,Taieri R,743.16,Three O'clock Stream tributary,1000,uoo,i43,2311100,5510200,275,88,efp,90,3,galdep,,71,40,111,14051332
15876,5,1995,Taieri R,743.07,Lee Creek North Branch,930,doco,h44,2286400,5480700,650,40,efp,20,1,parane,c,,,,14060820
15877,5,1996,Taieri R,743.07,Lee Creek North Branch,1015,doco,h44,2288300,5480900,500,37,efp,50,1,saltru,c,,30,200,14060715
15878,4,1996,Taieri R,743.058,Stony Creek,1200,doco,h44,2260600,5483900,560,65,efp,50,1,galbre,r,1,178,,14059821
15878,4,1996,Taieri R,743.058,Stony Creek,1200,doco,h44,2260600,5483900,560,65,efp,50,1,parane,r,1,,,14059821
