consumer,resource,res.category,res.order,res.family,res.subfamily,res.genus,res.species,res.method,con.category,con.order,con.family,con.subfamily,con.genus,con.species,con.method,linkevidence,source.id
Hydrobiosis parumbripennis,Plant.material,Plant.material,Plant.material,,,,,order,Invertebrate,Trichoptera,Hydrobiosidae,,Hydrobiosis,Hydrobiosis parumbripennis,genus,,9
Hydropsyche colonica,Plant.material,Plant.material,Plant.material,,,,,order,Invertebrate,Trichoptera,Hydropsychidae,,Hydropsyche,Hydropsyche colonica,genus,,9
Anguilla dieffenbachii,Plant.material,Plant.material,Plant.material,,,,,order,Fish,Anguilliformes,Anguillidae,,Anguilla,Anguilla dieffenbachii,species,,12
Anguilla australis,Plant.material,Plant.material,Plant.material,,,,,order,Fish,Anguilliformes,Anguillidae,,Anguilla,Anguilla australis,species,,13
Anguilla dieffenbachii,Plant.material,Plant.material,Plant.material,,,,,order,Fish,Anguilliformes,Anguillidae,,Anguilla,Anguilla dieffenbachii,species,,13
Anguilla,Plectrocnemia,Invertebrate,Trichoptera,Polycentropidae,,Plectrocnemia,,family,Fish,Anguilliformes,Anguillidae,,Anguilla,,genus,direct,2
Galaxias,Plectrocnemia,Invertebrate,Trichoptera,Polycentropidae,,Plectrocnemia,,family,Fish,Osmeriformes,Galaxidae,,Galaxias,,genus,direct,2
Gobiomorphus,Plectrocnemia,Invertebrate,Trichoptera,Polycentropidae,,Plectrocnemia,,family,Fish,Perciformes,Eleotridae,,Gobiomorphus,,genus,direct,2
Paranephrops zealandicus,Podaena,Invertebrate,Coleoptera,Hydraenidae,,Podaena,,genus,Crayfish,Decapoda,Parastacidae,,Paranephrops,Paranephrops zealandicus,genus,,11
Anguilla,Polypedilum,Invertebrate,Diptera,Chironomidae,Chironominae,,,family,Fish,Anguilliformes,Anguillidae,,Anguilla,,genus,direct,2
Galaxias,Polypedilum,Invertebrate,Diptera,Chironomidae,Chironominae,,,family,Fish,Osmeriformes,Galaxidae,,Galaxias,,genus,direct,2
Gobiomorphus,Polypedilum,Invertebrate,Diptera,Chironomidae,Chironominae,,,family,Fish,Perciformes,Eleotridae,,Gobiomorphus,,genus,direct,2
Paranephrops zealandicus,Polypedilum,Invertebrate,Diptera,Chironomidae,Chironominae,,,family,Crayfish,Decapoda,Parastacidae,,Paranephrops,Paranephrops zealandicus,genus,,11
Gobiomorphus,Polyplectropus,Invertebrate,Trichoptera,Polycentropidae,,Polyplectropus,,genus,Fish,Perciformes,Eleotridae,,Gobiomorphus,,genus,direct,2
Salmo,Polyplectropus,Invertebrate,Trichoptera,Polycentropidae,,Polyplectropus,,genus,Fish,Salmoniformes,Salmonidae,,Salmo,,genus,direct,2
Galaxias argenteus,Polyplectropus,Invertebrate,Trichoptera,Polycentropidae,,Polyplectropus,,genus,Fish,Osmeriformes,Galaxidae,,Galaxias,Galaxias argenteus,genus,,6
Paranephrops zealandicus,Polyplectropus,Invertebrate,Trichoptera,Polycentropidae,,Polyplectropus,,genus,Crayfish,Decapoda,Parastacidae,,Paranephrops,Paranephrops zealandicus,genus,,11
Anguilla dieffenbachii,Polyplectropus,Invertebrate,Trichoptera,Polycentropidae,,Polyplectropus,,genus,Fish,Anguilliformes,Anguillidae,,Anguilla,Anguilla dieffenbachii,species,,12
Anguilla,Potamopyrgus,Invertebrate,Mollusca,Hydrobiidae,,Potamopyrgus,,genus,Fish,Anguilliformes,Anguillidae,,Anguilla,,genus,direct,2
Galaxias,Potamopyrgus,Invertebrate,Mollusca,Hydrobiidae,,Potamopyrgus,,genus,Fish,Osmeriformes,Galaxidae,,Galaxias,,genus,direct,2
Gobiomorphus,Potamopyrgus,Invertebrate,Mollusca,Hydrobiidae,,Potamopyrgus,,genus,Fish,Perciformes,Eleotridae,,Gobiomorphus,,genus,direct,2
Salmo,Potamopyrgus,Invertebrate,Mollusca,Hydrobiidae,,Potamopyrgus,,genus,Fish,Salmoniformes,Salmonidae,,Salmo,,genus,direct,2
Gobiomorphus breviceps,Potamopyrgus,Invertebrate,Mollusca,Hydrobiidae,,Potamopyrgus,,genus,Fish,Perciformes,Eleotridae,,Gobiomorphus,Gobiomorphus breviceps,genus,direct,5
Gobiomorphus cotidianus,Potamopyrgus,Invertebrate,Mollusca,Hydrobiidae,,Potamopyrgus,,genus,Fish,Perciformes,Eleotridae,,Gobiomorphus,Gobiomorphus cotidianus,genus,direct,5
Salmo trutta,Potamopyrgus,Invertebrate,Mollusca,Hydrobiidae,,Potamopyrgus,,genus,Fish,Salmoniformes,Salmonidae,,Salmo,,genus,direct,5
Hudsonema aliena,Potamopyrgus,Invertebrate,Mollusca,Hydrobiidae,,Potamopyrgus,,genus,Invertebrate,Trichoptera,Leptoceridae,,Hudsonema,Hudsonema aliena,genus,,8
Paranephrops zealandicus,Potamopyrgus,Invertebrate,Mollusca,Hydrobiidae,,Potamopyrgus,,genus,Crayfish,Decapoda,Parastacidae,,Paranephrops,Paranephrops zealandicus,genus,,11
Anguilla dieffenbachii,Potamopyrgus,Invertebrate,Mollusca,Hydrobiidae,,Potamopyrgus,,genus,Fish,Anguilliformes,Anguillidae,,Anguilla,Anguilla dieffenbachii,species,,12
Anguilla australis,Potamopyrgus,Invertebrate,Mollusca,Hydrobiidae,,Potamopyrgus,,genus,Fish,Anguilliformes,Anguillidae,,Anguilla,Anguilla australis,species,,13
